
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|      279       |  1.9392e+089   |  6.8412e+094   |
|      280       |  1.4805e+089   |  6.8413e+094   |
|      281       |  1.1262e+089   |  6.8413e+094   |
|      282       |  8.5366e+088   |  6.8413e+094   |
|      283       |  6.4478e+088   |  6.8413e+094   |
|      284       |  4.8529e+088   |  6.8413e+094   |
|      285       |  3.6396e+088   |  6.8413e+094   |
|      286       |  2.7201e+088   |  6.8413e+094   |
|      287       |  2.0258e+088   |  6.8413e+094   |
|      288       |  1.5034e+088   |  6.8413e+094   |
|      289       |  1.1119e+088   |  6.8413e+094   |
|      290       |  8.1949e+087   |  6.8413e+094   |
|      291       |   6.019e+087   |  6.8413e+094   |
|      292       |  4.4056e+087   |  6.8413e+094   |
|      293       |  3.2136e+087   |  6.8413e+094   |
|      294       |  2.3362e+087   |  6.8413e+094   |
|      295       |  1.6925e+087   |  6.8413e+094   |
|      296       |   1.222e+087   |  6.8413e+094   |
|      297       |  8.7935e+086   |  6.8413e+094   |
|      298       |  6.3064e+086   |  6.8413e+094   |
|      299       |  4.5076e+086   |  6.8413e+094   |
|      300       |   3.211e+086   |  6.8413e+094   |
|      301       |  2.2798e+086   |  6.8413e+094   |
|      302       |  1.6133e+086   |  6.8413e+094   |
|      303       |  1.1378e+086   |  6.8413e+094   |
|      304       |  7.9985e+085   |  6.8413e+094   |
|      305       |  5.6041e+085   |  6.8413e+094   |
|      306       |  3.9137e+085   |  6.8413e+094   |
|      307       |  2.7242e+085   |  6.8413e+094   |
|      308       |    1.89e+085   |  6.8413e+094   |
|      309       |  1.3071e+085   |  6.8413e+094   |
|      310       |  9.0098e+084   |  6.8413e+094   |
|      311       |  6.1905e+084   |  6.8413e+094   |
|      312       |  4.2398e+084   |  6.8413e+094   |
|      313       |  2.8944e+084   |  6.8413e+094   |
|      314       |  1.9697e+084   |  6.8413e+094   |
|      315       |  1.3361e+084   |  6.8413e+094   |
|      316       |  9.0345e+083   |  6.8413e+094   |
|      317       |  6.0896e+083   |  6.8413e+094   |
|      318       |  4.0917e+083   |  6.8413e+094   |
|      319       |  2.7407e+083   |  6.8413e+094   |
|      320       |    1.83e+083   |  6.8413e+094   |
|      321       |  1.2181e+083   |  6.8413e+094   |
|      322       |  8.0823e+082   |  6.8413e+094   |
|      323       |  5.3463e+082   |  6.8413e+094   |
|      324       |  3.5256e+082   |  6.8413e+094   |
|      325       |  2.3177e+082   |  6.8413e+094   |
|      326       |   1.519e+082   |  6.8413e+094   |
|      327       |  9.9245e+081   |  6.8413e+094   |
|      328       |  6.4645e+081   |  6.8413e+094   |
|      329       |   4.198e+081   |  6.8413e+094   |
|      330       |  2.7178e+081   |  6.8413e+094   |
|      331       |  1.7542e+081   |  6.8413e+094   |
|      332       |  1.1288e+081   |  6.8413e+094   |
|      333       |  7.2421e+080   |  6.8413e+094   |
|      334       |  4.6323e+080   |  6.8413e+094   |
|      335       |  2.9541e+080   |  6.8413e+094   |
|      336       |  1.8783e+080   |  6.8413e+094   |
|      337       |  1.1907e+080   |  6.8413e+094   |
|      338       |  7.5256e+079   |  6.8413e+094   |
|      339       |  4.7424e+079   |  6.8413e+094   |
|      340       |  2.9797e+079   |  6.8413e+094   |
|      341       |  1.8667e+079   |  6.8413e+094   |
|      342       |   1.166e+079   |  6.8413e+094   |
|      343       |  7.2618e+078   |  6.8413e+094   |
|      344       |  4.5095e+078   |  6.8413e+094   |
|      345       |  2.7922e+078   |  6.8413e+094   |
|      346       |  1.7239e+078   |  6.8413e+094   |
|      347       |  1.0612e+078   |  6.8413e+094   |
|      348       |   6.514e+077   |  6.8413e+094   |
|      349       |   3.987e+077   |  6.8413e+094   |
|      350       |  2.4333e+077   |  6.8413e+094   |
|      351       |  1.4808e+077   |  6.8413e+094   |
|      352       |  8.9861e+076   |  6.8413e+094   |
|      353       |  5.4376e+076   |  6.8413e+094   |
|      354       |   3.281e+076   |  6.8413e+094   |
|      355       |  1.9741e+076   |  6.8413e+094   |
|      356       |  1.1845e+076   |  6.8413e+094   |
|      357       |  7.0868e+075   |  6.8413e+094   |
|      358       |  4.2283e+075   |  6.8413e+094   |
|      359       |  2.5157e+075   |  6.8413e+094   |
|      360       |  1.4926e+075   |  6.8413e+094   |
|      361       |   8.831e+074   |  6.8413e+094   |
|      362       |  5.2105e+074   |  6.8413e+094   |
|      363       |  3.0658e+074   |  6.8413e+094   |
|      364       |  1.7989e+074   |  6.8413e+094   |
|      365       |  1.0527e+074   |  6.8413e+094   |
|      366       |  6.1429e+073   |  6.8413e+094   |
|      367       |   3.575e+073   |  6.8413e+094   |
|      368       |  2.0748e+073   |  6.8413e+094   |
|      369       |  1.2009e+073   |  6.8413e+094   |
|      370       |   6.932e+072   |  6.8413e+094   |
|      371       |  3.9906e+072   |  6.8413e+094   |
|      372       |  2.2911e+072   |  6.8413e+094   |
|      373       |  1.3118e+072   |  6.8413e+094   |
|      374       |   7.491e+071   |  6.8413e+094   |
|      375       |  4.2662e+071   |  6.8413e+094   |
|      376       |  2.4232e+071   |  6.8413e+094   |
|      377       |  1.3727e+071   |  6.8413e+094   |
|      378       |  7.7555e+070   |  6.8413e+094   |
|      379       |  4.3701e+070   |  6.8413e+094   |
|      380       |   2.456e+070   |  6.8413e+094   |
|      381       |  1.3767e+070   |  6.8413e+094   |
|      382       |  7.6962e+069   |  6.8413e+094   |
|      383       |  4.2913e+069   |  6.8413e+094   |
|      384       |  2.3865e+069   |  6.8413e+094   |
|      385       |  1.3238e+069   |  6.8413e+094   |
|      386       |  7.3237e+068   |  6.8413e+094   |
|      387       |  4.0413e+068   |  6.8413e+094   |
|      388       |  2.2243e+068   |  6.8413e+094   |
|      389       |   1.221e+068   |  6.8413e+094   |
|      390       |  6.6859e+067   |  6.8413e+094   |
|      391       |  3.6515e+067   |  6.8413e+094   |
|      392       |  1.9892e+067   |  6.8413e+094   |
|      393       |  1.0808e+067   |  6.8413e+094   |
|      394       |  5.8579e+066   |  6.8413e+094   |
|      395       |  3.1668e+066   |  6.8413e+094   |
|      396       |  1.7077e+066   |  6.8413e+094   |
|      397       |  9.1852e+065   |  6.8413e+094   |
|      398       |   4.928e+065   |  6.8413e+094   |
|      399       |  2.6373e+065   |  6.8413e+094   |
|      400       |  1.4079e+065   |  6.8413e+094   |
|      401       |   7.497e+064   |  6.8413e+094   |
|      402       |  3.9822e+064   |  6.8413e+094   |
|      403       |  2.1099e+064   |  6.8413e+094   |
|      404       |  1.1152e+064   |  6.8413e+094   |
|      405       |  5.8795e+063   |  6.8413e+094   |
|      406       |  3.0922e+063   |  6.8413e+094   |
|      407       |  1.6222e+063   |  6.8413e+094   |
|      408       |  8.4897e+062   |  6.8413e+094   |
|      409       |  4.4321e+062   |  6.8413e+094   |
|      410       |  2.3082e+062   |  6.8413e+094   |
|      411       |  1.1991e+062   |  6.8413e+094   |
|      412       |  6.2143e+061   |  6.8413e+094   |
|      413       |  3.2127e+061   |  6.8413e+094   |
|      414       |  1.6569e+061   |  6.8413e+094   |
|      415       |  8.5247e+060   |  6.8413e+094   |
|      416       |  4.3753e+060   |  6.8413e+094   |
|      417       |  2.2402e+060   |  6.8413e+094   |
|      418       |  1.1443e+060   |  6.8413e+094   |
|      419       |  5.8309e+059   |  6.8413e+094   |
|      420       |  2.9641e+059   |  6.8413e+094   |
|      421       |  1.5032e+059   |  6.8413e+094   |
|      422       |  7.6053e+058   |  6.8413e+094   |
|      423       |  3.8387e+058   |  6.8413e+094   |
|      424       |  1.9329e+058   |  6.8413e+094   |
|      425       |  9.7103e+057   |  6.8413e+094   |
|      426       |  4.8665e+057   |  6.8413e+094   |
|      427       |  2.4333e+057   |  6.8413e+094   |
|      428       |  1.2138e+057   |  6.8413e+094   |
|      429       |  6.0405e+056   |  6.8413e+094   |
|      430       |  2.9991e+056   |  6.8413e+094   |
|      431       |  1.4856e+056   |  6.8413e+094   |
|      432       |  7.3417e+055   |  6.8413e+094   |
|      433       |  3.6199e+055   |  6.8413e+094   |
|      434       |  1.7807e+055   |  6.8413e+094   |
|      435       |  8.7391e+054   |  6.8413e+094   |
|      436       |  4.2791e+054   |  6.8413e+094   |
|      437       |  2.0905e+054   |  6.8413e+094   |
|      438       |  1.0189e+054   |  6.8413e+094   |
|      439       |   4.955e+053   |  6.8413e+094   |
|      440       |  2.4041e+053   |  6.8413e+094   |
|      441       |  1.1638e+053   |  6.8413e+094   |
|      442       |  5.6211e+052   |  6.8413e+094   |
|      443       |  2.7088e+052   |  6.8413e+094   |
|      444       |  1.3024e+052   |  6.8413e+094   |
|      445       |  6.2481e+051   |  6.8413e+094   |
|      446       |  2.9906e+051   |  6.8413e+094   |
|      447       |  1.4283e+051   |  6.8413e+094   |
|      448       |  6.8058e+050   |  6.8413e+094   |
|      449       |  3.2358e+050   |  6.8413e+094   |
|      450       |   1.535e+050   |  6.8413e+094   |
|      451       |  7.2656e+049   |  6.8413e+094   |
|      452       |  3.4314e+049   |  6.8413e+094   |
|      453       |   1.617e+049   |  6.8413e+094   |
|      454       |  7.6031e+048   |  6.8413e+094   |
|      455       |  3.5671e+048   |  6.8413e+094   |
|      456       |  1.6699e+048   |  6.8413e+094   |
|      457       |     7.8e+047   |  6.8413e+094   |
|      458       |  3.6354e+047   |  6.8413e+094   |
|      459       |  1.6907e+047   |  6.8413e+094   |
|      460       |  7.8457e+046   |  6.8413e+094   |
|      461       |  3.6329e+046   |  6.8413e+094   |
|      462       |  1.6785e+046   |  6.8413e+094   |
|      463       |  7.7386e+045   |  6.8413e+094   |
|      464       |  3.5601e+045   |  6.8413e+094   |
|      465       |  1.6342e+045   |  6.8413e+094   |
|      466       |  7.4859e+044   |  6.8413e+094   |
|      467       |  3.4216e+044   |  6.8413e+094   |
|      468       |  1.5606e+044   |  6.8413e+094   |
|      469       |  7.1028e+043   |  6.8413e+094   |
|      470       |  3.2258e+043   |  6.8413e+094   |
|      471       |  1.4619e+043   |  6.8413e+094   |
|      472       |   6.611e+042   |  6.8413e+094   |
|      473       |  2.9833e+042   |  6.8413e+094   |
|      474       |  1.3434e+042   |  6.8413e+094   |
|      475       |   6.037e+041   |  6.8413e+094   |
|      476       |  2.7071e+041   |  6.8413e+094   |
|      477       |  1.2114e+041   |  6.8413e+094   |
|      478       |  5.4092e+040   |  6.8413e+094   |
|      479       |  2.4104e+040   |  6.8413e+094   |
|      480       |  1.0718e+040   |  6.8413e+094   |
|      481       |  4.7562e+039   |  6.8413e+094   |
|      482       |  2.1062e+039   |  6.8413e+094   |
|      483       |  9.3073e+038   |  6.8413e+094   |
|      484       |  4.1045e+038   |  6.8413e+094   |
|      485       |  1.8063e+038   |  6.8413e+094   |
